type,x,y,z,rotation
Block,25.10344,-4,0,0
Block,28.68965,-4,0,0
Block,53.79309,-4,0,0
Block,57.3793,-4,0,0
Block,82.48273,-4,0,0
Block,84.27583,0,0,0
Block,86.06894,-4,0,0
Block,111.1724,-1,0,0
Block,112.9655,-4,0,0
Block,115.7586,-2,0,0
Block,39.44827,-4,0,0
Block,68.13791,-4,0,0
Block,32.27585,-2,0,0
Block,33.27585,-2,0,0
Block,34.27585,-2,0,0
Block,35.27585,-2,0,0
Block,36.27585,-2,0,0
Block,60.9655,0,0,0
Block,61.9655,0,0,0
Block,62.9655,0,0,0
Block,63.9655,0,0,0
Block,64.9655,0,0,0
Block,60.9655,-1,0,0
Block,61.9655,-1,0,0
Block,62.9655,-1,0,0
Block,63.9655,-1,0,0
Block,64.9655,-1,0,0
Block,130.87,3,0,0
Block,131.87,3,0,0
Block,132.87,3,0,0
Block,133.87,3,0,0
Block,134.87,3,0,0
Block,135.87,3,0,0
Block,136.87,3,0,0
Block,137.87,3,0,0
Block,138.87,3,0,0
Block,139.87,3,0,0
Block,130.87,4,0,0
Block,131.87,4,0,0
Block,132.87,4,0,0
Block,133.87,4,0,0
Block,134.87,4,0,0
Block,135.87,4,0,0
Block,136.87,4,0,0
Block,137.87,4,0,0
Block,138.87,4,0,0
Block,139.87,4,0,0
Block,140.8182,3,0,0
Block,141.8182,3,0,0
Block,142.8182,3,0,0
Block,143.8182,3,0,0
Block,144.8182,3,0,0
Block,145.8182,3,0,0
Block,146.8182,3,0,0
Block,147.8182,3,0,0
Block,148.8182,3,0,0
Block,149.8182,3,0,0
Block,140.8182,4,0,0
Block,141.8182,4,0,0
Block,142.8182,4,0,0
Block,143.8182,4,0,0
Block,144.8182,4,0,0
Block,145.8182,4,0,0
Block,146.8182,4,0,0
Block,147.8182,4,0,0
Block,148.8182,4,0,0
Block,149.8182,4,0,0
Block,139.862,2,0,0
Block,150.9137,3,0,0
Block,151.9137,3,0,0
Block,152.9137,3,0,0
Block,153.9137,3,0,0
Block,154.9137,3,0,0
Block,155.9137,3,0,0
Block,156.9137,3,0,0
Block,157.9137,3,0,0
Block,158.9137,3,0,0
Block,159.9137,3,0,0
Block,150.9137,4,0,0
Block,151.9137,4,0,0
Block,152.9137,4,0,0
Block,153.9137,4,0,0
Block,154.9137,4,0,0
Block,155.9137,4,0,0
Block,156.9137,4,0,0
Block,157.9137,4,0,0
Block,158.9137,4,0,0
Block,159.9137,4,0,0
Block,142.6551,1,0,0
Block,148.8275,0,0,0
Block,154.2068,2,0,0
Block,156,1,0,0
Block,157.7931,2,0,0
Block,160.8793,3,0,0
Block,161.8793,3,0,0
Block,162.8793,3,0,0
Block,163.8793,3,0,0
Block,164.8793,3,0,0
Block,165.8793,3,0,0
Block,166.8793,3,0,0
Block,167.8793,3,0,0
Block,168.8793,3,0,0
Block,169.8793,3,0,0
Block,160.8793,4,0,0
Block,161.8793,4,0,0
Block,162.8793,4,0,0
Block,163.8793,4,0,0
Block,164.8793,4,0,0
Block,165.8793,4,0,0
Block,166.8793,4,0,0
Block,167.8793,4,0,0
Block,168.8793,4,0,0
Block,169.8793,4,0,0
Block,164.9655,2,0,0
Block,170.8448,2,0,0
Block,171.8448,2,0,0
Block,172.8448,2,0,0
Block,173.8448,2,0,0
Block,174.8448,2,0,0
Block,175.8448,2,0,0
Block,176.8448,2,0,0
Block,177.8448,2,0,0
Block,178.8448,2,0,0
Block,179.8448,2,0,0
Block,170.8448,3,0,0
Block,171.8448,3,0,0
Block,172.8448,3,0,0
Block,173.8448,3,0,0
Block,174.8448,3,0,0
Block,175.8448,3,0,0
Block,176.8448,3,0,0
Block,177.8448,3,0,0
Block,178.8448,3,0,0
Block,179.8448,3,0,0
Block,177.8965,3,0,0
Block,178.8965,3,0,0
Block,179.8965,3,0,0
Block,180.8965,3,0,0
Block,181.8965,3,0,0
Block,182.8965,3,0,0
Block,183.8965,3,0,0
Block,184.8965,3,0,0
Block,185.8965,3,0,0
Block,186.8965,3,0,0
Block,177.8965,4,0,0
Block,178.8965,4,0,0
Block,179.8965,4,0,0
Block,180.8965,4,0,0
Block,181.8965,4,0,0
Block,182.8965,4,0,0
Block,183.8965,4,0,0
Block,184.8965,4,0,0
Block,185.8965,4,0,0
Block,186.8965,4,0,0
Block,182.8965,2,0,0
Block,120.1379,-4,0,0
Block,123.5172,-4,0,0
Block,124.5172,-4,0,0
Block,125.5172,-4,0,0
Block,127.5172,-3,0,0
Block,152.4137,-3,0,0
Block,153.4137,-3,0,0
Block,154.4137,-3,0,0
Block,155.4137,-3,0,0
Block,156.4137,-3,0,0
Block,157.4137,-2,0,0
Block,158.4137,-2,0,0
Block,159.4137,-2,0,0
Block,160.4137,-2,0,0
Block,161.4137,-2,0,0
Block,162.4137,-2,0,0
Block,163.4137,-2,0,0
Block,164.4137,-2,0,0
Block,165.4137,-2,0,0
Block,166.4137,-2,0,0
Block,168.5517,-6,0,0
Block,169.5517,-6,0,0
Block,168.5517,-5,0,0
Block,169.5517,-5,0,0
Block,168.5517,-4,0,0
Block,169.5517,-4,0,0
Block,168.5517,-3,0,0
